plant_id,status,hard_reject_reasons,target_start,target_end,target_rows,target_expected_hourly_rows,target_hourly_coverage,target_longest_strict_run_hours,target_gap_count_gt_1h,target_max_gap_hours,overlap_start,overlap_end,overlap_rows,overlap_expected_hourly_rows,overlap_hourly_coverage,overlap_longest_strict_run_hours,overlap_gap_count_gt_1h,overlap_max_gap_hours,train_overlap_rows,validation_overlap_rows,calibration_overlap_rows,test_overlap_rows
ewp:광양항광양냉장태양광,STRUCTURAL_REJECT,empty_overlap_splits:train,2022-06-01T00:00:00,2025-06-30T23:00:00,27024,27024,1.0,27024,0,1.0,2022-06-01T00:00:00,2025-06-30T23:00:00,27024,27024,1.0,27024,0,1.0,0,11666,7720,7250
ewp:당진자재창고태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,1348,11666,7720,7250
ewp:당진태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-04-01T00:00:00,2025-06-30T23:00:00,28368,28488,0.995787700084246,22968,2,97.0,2022-04-01T00:00:00,2025-06-30T23:00:00,28368,28488,0.995787700084246,22968,2,97.0,1252,11642,7720,7250
ewp:당진화력수상태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,1348,11666,7720,7250
ewp:동해 바이오 연료저장고 지붕태양광,STRUCTURAL_REJECT,"empty_overlap_splits:train,validation",2024-01-01T00:00:00,2025-06-30T23:00:00,13128,13128,1.0,13128,0,1.0,2024-01-01T00:00:00,2025-06-30T23:00:00,13128,13128,1.0,13128,0,1.0,0,0,5710,7250
ewp:동해바이오화력본부 태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,2022-04-01T00:00:00,2025-06-30T23:00:00,28488,28488,1.0,28488,0,1.0,1348,11666,7720,7250
ewp:울산태양광#1,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-04-01T00:00:00,2025-06-30T23:00:00,28416,28488,0.9974726200505476,23136,1,73.0,2022-04-01T00:00:00,2025-06-30T23:00:00,28416,28488,0.9974726200505476,23136,1,73.0,1348,11666,7720,7178
iwest:삼랑진 태양광 (FIT),STRUCTURAL_REJECT,"empty_overlap_splits:train,test",2023-01-01T00:00:00,2023-12-31T23:00:00,8760,8760,1.0,8760,0,1.0,2023-01-01T00:00:00,2023-12-31T23:00:00,8760,8760,1.0,8760,0,1.0,0,6582,2010,0
iwest:영암F1 태양광,STRUCTURAL_REJECT,empty_overlap_splits:test,2017-01-01T00:00:00,2023-12-31T23:00:00,61340,61344,0.9999347939488784,28877,2,4.0,2017-01-01T00:00:00,2023-12-31T23:00:00,61340,61344,0.9999347939488784,28877,2,4.0,47331,11663,2010,0
koen:경상대태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-01-01T00:00:00,2025-09-30T23:00:00,32856,32856,1.0,32856,0,1.0,2022-01-01T00:00:00,2025-09-30T23:00:00,32856,32856,1.0,32856,0,1.0,3508,11666,7720,9458
koen:광양항세방태양광,CANDIDATE_REQUIRES_THRESHOLD_REVIEW,,2022-01-01T00:00:00,2025-09-30T23:00:00,32856,32856,1.0,32856,0,1.0,2022-01-01T00:00:00,2025-09-30T23:00:00,32855,32856,0.9999695641587534,29646,1,2.0,3507,11666,7720,9458
