날짜,실제발전량(MWh),예측발전량(MWh),오차(MWh)
2025-01-01 00:00:00,0.0,-0.9795,-0.9794921875
2025-01-01 01:00:00,0.0,46.38,46.375
2025-01-01 02:00:00,0.0,7.344,7.34375
2025-01-01 03:00:00,0.0,56.4,56.40625
2025-01-01 04:00:00,0.0,48.16,48.15625
2025-01-01 05:00:00,0.0,48.2,48.1875
2025-01-01 06:00:00,0.0,48.7,48.6875
2025-01-01 07:00:00,0.0,42.28,42.28125
2025-01-01 08:00:00,0.0,41.03,41.03125
2025-01-01 09:00:00,17.856,39.7,21.8315
2025-01-01 10:00:00,20.544,37.94,17.3935
2025-01-01 11:00:00,20.16,35.97,15.80875
2025-01-01 12:00:00,20.448,29.56,9.1145
2025-01-01 13:00:00,21.696,19.36,-2.3366250000000015
2025-01-01 14:00:00,396.768,8.22,-388.54925
2025-01-01 15:00:00,490.08,-2.406,-492.48625
2025-01-01 16:00:00,328.128,-9.2,-337.331125
2025-01-01 17:00:00,549.6,-11.03,-560.63125
2025-01-01 18:00:00,689.28,-4.418,-693.69796875
2025-01-01 19:00:00,688.32,14.25,-674.07
2025-01-01 20:00:00,285.408,48.72,-236.68925000000002
2025-01-01 21:00:00,0.0,52.06,52.0625
2025-01-01 22:00:00,0.0,73.1,73.125
2025-01-01 23:00:00,0.0,897.5,897.5
2025-01-02 00:00:00,0.0,44.12,44.125
2025-01-02 01:00:00,0.0,87.3,87.3125
2025-01-02 02:00:00,0.0,18.4,18.40625
2025-01-02 03:00:00,0.0,59.66,59.65625
2025-01-02 04:00:00,0.0,46.47,46.46875
2025-01-02 05:00:00,0.0,46.72,46.71875
2025-01-02 06:00:00,0.0,47.38,47.375
2025-01-02 07:00:00,0.0,43.22,43.21875
2025-01-02 08:00:00,0.0,42.8,42.8125
2025-01-02 09:00:00,17.76,41.28,23.52125
2025-01-02 10:00:00,20.448,39.25,18.802
2025-01-02 11:00:00,20.352,36.5,16.148
2025-01-02 12:00:00,21.216,29.11,7.893374999999999
2025-01-02 13:00:00,22.752,18.78,-3.970749999999999
2025-01-02 14:00:00,401.568,7.723,-393.84534375
2025-01-02 15:00:00,496.608,-2.334,-498.941984375
2025-01-02 16:00:00,351.744,-9.18,-360.9236875
2025-01-02 17:00:00,561.12,-10.78,-571.90125
2025-01-02 18:00:00,688.224,-4.875,-693.099
2025-01-02 19:00:00,687.36,13.3,-674.063125
2025-01-02 20:00:00,319.2,45.47,-273.73125
2025-01-02 21:00:00,0.0,50.9,50.90625
2025-01-02 22:00:00,0.0,70.94,70.9375
2025-01-02 23:00:00,0.0,743.5,743.5
2025-01-03 00:00:00,0.0,73.4,73.375
2025-01-03 01:00:00,0.0,103.44,103.4375
2025-01-03 02:00:00,0.0,14.62,14.6171875
2025-01-03 03:00:00,0.0,55.44,55.4375
2025-01-03 04:00:00,0.0,44.22,44.21875
2025-01-03 05:00:00,0.0,43.94,43.9375
2025-01-03 06:00:00,0.0,45.53,45.53125
2025-01-03 07:00:00,0.0,42.94,42.9375
2025-01-03 08:00:00,0.0,42.88,42.875
2025-01-03 09:00:00,17.568,42.2,24.6195
2025-01-03 10:00:00,20.736,40.38,19.639
2025-01-03 11:00:00,21.216,37.12,15.908999999999999
2025-01-03 12:00:00,22.464,30.48,8.020375000000001
2025-01-03 13:00:00,76.992,20.02,-56.976375000000004
2025-01-03 14:00:00,664.992,9.125,-655.867
2025-01-03 15:00:00,537.408,-1.58,-538.988078125
2025-01-03 16:00:00,384.864,-8.266,-393.129625
2025-01-03 17:00:00,569.184,-10.33,-579.512125
2025-01-03 18:00:00,688.704,-5.9,-694.6024375
2025-01-03 19:00:00,687.456,10.08,-677.377875
2025-01-03 20:00:00,337.248,38.88,-298.373
2025-01-03 21:00:00,0.0,49.47,49.46875
2025-01-03 22:00:00,0.0,62.94,62.9375
2025-01-03 23:00:00,0.0,564.0,564.0
2025-01-04 00:00:00,0.0,58.16,58.15625
2025-01-04 01:00:00,0.0,83.44,83.4375
2025-01-04 02:00:00,0.0,-1.981,-1.9814453125
2025-01-04 03:00:00,0.0,37.03,37.03125
2025-01-04 04:00:00,0.0,34.03,34.03125
2025-01-04 05:00:00,0.0,38.34,38.34375
2025-01-04 06:00:00,0.0,43.06,43.0625
2025-01-04 07:00:00,0.0,42.97,42.96875
2025-01-04 08:00:00,0.0,45.0,45.0
2025-01-04 09:00:00,17.184,44.84,27.65975
2025-01-04 10:00:00,20.064,43.4,23.34225
2025-01-04 11:00:00,19.776,39.84,20.06775
2025-01-04 12:00:00,20.736,32.9,12.17025
2025-01-04 13:00:00,22.464,23.14,0.6766250000000014
2025-01-04 14:00:00,597.888,12.48,-585.4114375
2025-01-04 15:00:00,535.872,2.201,-533.670828125
2025-01-04 16:00:00,379.968,-4.63,-384.59690625
2025-01-04 17:00:00,568.416,-6.938,-575.3535
2025-01-04 18:00:00,689.568,-2.686,-692.253546875
2025-01-04 19:00:00,688.416,11.26,-677.1581875
2025-01-04 20:00:00,334.56,35.94,-298.6225
2025-01-04 21:00:00,0.0,47.8,47.8125
2025-01-04 22:00:00,0.0,67.4,67.375
2025-01-04 23:00:00,0.0,426.2,426.25
2025-01-05 00:00:00,0.0,115.44,115.4375
2025-01-05 01:00:00,0.0,87.6,87.625
2025-01-05 02:00:00,0.0,-3.586,-3.5859375
2025-01-05 03:00:00,0.0,29.39,29.390625
2025-01-05 04:00:00,0.0,30.14,30.140625
2025-01-05 05:00:00,0.0,36.16,36.15625
2025-01-05 06:00:00,0.0,41.9,41.90625
2025-01-05 07:00:00,0.0,44.12,44.125
2025-01-05 08:00:00,0.0,47.28,47.28125
2025-01-05 09:00:00,10.848,48.28,37.43325
2025-01-05 10:00:00,20.64,46.44,25.7975
2025-01-05 11:00:00,19.776,42.6,22.81775
2025-01-05 12:00:00,19.872,35.78,15.90925
2025-01-05 13:00:00,22.464,26.34,3.8797500000000014
2025-01-05 14:00:00,20.448,16.1,-4.35425
2025-01-05 15:00:00,50.4,5.492,-44.9078125
2025-01-05 16:00:00,142.368,-1.55,-143.9178046875
2025-01-05 17:00:00,507.936,-5.027,-512.9633437499999
2025-01-05 18:00:00,688.8,-2.26,-691.059765625
2025-01-05 19:00:00,688.32,9.67,-678.648125
2025-01-05 20:00:00,259.2,29.77,-229.434375
2025-01-05 21:00:00,0.0,41.4,41.40625
2025-01-05 22:00:00,0.0,69.56,69.5625
2025-01-05 23:00:00,0.0,302.8,302.75
2025-01-06 00:00:00,0.0,222.0,222.0
2025-01-06 01:00:00,0.0,93.25,93.25
2025-01-06 02:00:00,0.0,-12.79,-12.7890625
2025-01-06 03:00:00,0.0,24.73,24.734375
2025-01-06 04:00:00,0.0,27.3,27.296875
2025-01-06 05:00:00,0.0,36.88,36.875
2025-01-06 06:00:00,0.0,43.2,43.1875
2025-01-06 07:00:00,0.0,45.72,45.71875
2025-01-06 08:00:00,0.0,49.47,49.46875
2025-01-06 09:00:00,12.96,50.66,37.69625
2025-01-06 10:00:00,20.16,48.94,28.7775
2025-01-06 11:00:00,20.256,45.2,24.9315
2025-01-06 12:00:00,20.928,37.66,16.72825
2025-01-06 13:00:00,20.544,28.08,7.5341249999999995
