date,actual,predicted
2025-01-01 00:00:00,0.0,-126.0
2025-01-01 01:00:00,0.0,118.75
2025-01-01 02:00:00,0.0,60.2
2025-01-01 03:00:00,0.0,40.62
2025-01-01 04:00:00,0.0,-10.37
2025-01-01 05:00:00,0.0,2.127
2025-01-01 06:00:00,0.0,25.72
2025-01-01 07:00:00,0.0,19.77
2025-01-01 08:00:00,0.0,8.805
2025-01-01 09:00:00,17.856,2.371
2025-01-01 10:00:00,20.544,6.133
2025-01-01 11:00:00,20.16,9.09
2025-01-01 12:00:00,20.448,10.875
2025-01-01 13:00:00,21.696,8.28
2025-01-01 14:00:00,396.768,3.904
2025-01-01 15:00:00,490.08,-3.64
2025-01-01 16:00:00,328.128,-8.21
2025-01-01 17:00:00,549.6,-7.98
2025-01-01 18:00:00,689.28,-5.445
2025-01-01 19:00:00,688.32,-4.91
2025-01-01 20:00:00,285.408,-0.664
2025-01-01 21:00:00,0.0,0.3054
2025-01-01 22:00:00,0.0,41.72
2025-01-01 23:00:00,0.0,895.5
2025-01-02 00:00:00,0.0,-138.2
2025-01-02 01:00:00,0.0,145.4
2025-01-02 02:00:00,0.0,34.06
2025-01-02 03:00:00,0.0,35.53
2025-01-02 04:00:00,0.0,-27.89
2025-01-02 05:00:00,0.0,-19.94
2025-01-02 06:00:00,0.0,11.664
2025-01-02 07:00:00,0.0,14.78
2025-01-02 08:00:00,0.0,4.39
2025-01-02 09:00:00,17.76,-0.4182
2025-01-02 10:00:00,20.448,1.806
2025-01-02 11:00:00,20.352,5.91
2025-01-02 12:00:00,21.216,6.387
2025-01-02 13:00:00,22.752,6.21
2025-01-02 14:00:00,401.568,2.762
2025-01-02 15:00:00,496.608,-4.09
2025-01-02 16:00:00,351.744,-8.02
2025-01-02 17:00:00,561.12,-9.64
2025-01-02 18:00:00,688.224,-6.62
2025-01-02 19:00:00,687.36,-8.99
2025-01-02 20:00:00,319.2,-8.086
2025-01-02 21:00:00,0.0,-4.434
2025-01-02 22:00:00,0.0,13.05
2025-01-02 23:00:00,0.0,701.5
2025-01-03 00:00:00,0.0,-42.78
2025-01-03 01:00:00,0.0,172.2
2025-01-03 02:00:00,0.0,1.77
2025-01-03 03:00:00,0.0,37.78
2025-01-03 04:00:00,0.0,-18.38
2025-01-03 05:00:00,0.0,-13.28
2025-01-03 06:00:00,0.0,17.28
2025-01-03 07:00:00,0.0,20.58
2025-01-03 08:00:00,0.0,10.5
2025-01-03 09:00:00,17.568,3.928
2025-01-03 10:00:00,20.736,4.594
2025-01-03 11:00:00,21.216,6.758
2025-01-03 12:00:00,22.464,8.51
2025-01-03 13:00:00,76.992,6.57
2025-01-03 14:00:00,664.992,2.041
2025-01-03 15:00:00,537.408,-2.771
2025-01-03 16:00:00,384.864,-7.82
2025-01-03 17:00:00,569.184,-9.3
2025-01-03 18:00:00,688.704,-8.336
2025-01-03 19:00:00,687.456,-10.95
2025-01-03 20:00:00,337.248,-12.39
2025-01-03 21:00:00,0.0,-8.68
2025-01-03 22:00:00,0.0,23.97
2025-01-03 23:00:00,0.0,628.5
2025-01-04 00:00:00,0.0,-17.4
2025-01-04 01:00:00,0.0,152.6
2025-01-04 02:00:00,0.0,1.308
2025-01-04 03:00:00,0.0,22.2
2025-01-04 04:00:00,0.0,-22.25
2025-01-04 05:00:00,0.0,-9.48
2025-01-04 06:00:00,0.0,17.47
2025-01-04 07:00:00,0.0,18.25
2025-01-04 08:00:00,0.0,8.85
2025-01-04 09:00:00,17.184,3.834
2025-01-04 10:00:00,20.064,5.65
2025-01-04 11:00:00,19.776,5.17
2025-01-04 12:00:00,20.736,5.195
2025-01-04 13:00:00,22.464,3.71
2025-01-04 14:00:00,597.888,-3.184
2025-01-04 15:00:00,535.872,-7.547
2025-01-04 16:00:00,379.968,-11.96
2025-01-04 17:00:00,568.416,-10.49
2025-01-04 18:00:00,689.568,-3.598
2025-01-04 19:00:00,688.416,-1.938
2025-01-04 20:00:00,334.56,0.571
2025-01-04 21:00:00,0.0,7.555
2025-01-04 22:00:00,0.0,27.22
2025-01-04 23:00:00,0.0,509.5
2025-01-05 00:00:00,0.0,-43.4
2025-01-05 01:00:00,0.0,115.8
2025-01-05 02:00:00,0.0,-11.766
2025-01-05 03:00:00,0.0,24.67
2025-01-05 04:00:00,0.0,-14.84
2025-01-05 05:00:00,0.0,-3.568
2025-01-05 06:00:00,0.0,26.22
2025-01-05 07:00:00,0.0,27.4
2025-01-05 08:00:00,0.0,18.28
2025-01-05 09:00:00,10.848,10.89
2025-01-05 10:00:00,20.64,9.805
2025-01-05 11:00:00,19.776,8.6
2025-01-05 12:00:00,19.872,6.996
2025-01-05 13:00:00,22.464,3.387
2025-01-05 14:00:00,20.448,-1.853
2025-01-05 15:00:00,50.4,-6.613
2025-01-05 16:00:00,142.368,-9.53
2025-01-05 17:00:00,507.936,-6.246
2025-01-05 18:00:00,688.8,-1.613
