회사명,발전기명,호기,설비용량,회원구분,급전방식,발전원,발전종류,사업구분,광역지역,세부지역
((주)동부화학태양광,((주)동부화학태양광,1,0.097,비회원,비중앙,태양에너지,신재생,발전사업,광주,광주광역시 광산구
((주)에스제이발전),((주)에스제이발전),1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 익산시
(G H)태양광 발전소,G H 태양광발전소,1,0.34545,정회원,비중앙,태양에너지,신재생,발전사업,경남,경상남도 김해시
(KEPCO-16-F30 천일기계태양광,(KEPCO-16-F30 천일기계태양광,1,0.2511,비회원,비중앙,태양에너지,신재생,발전사업,경남,경상남도 함안군
(My Three)태양광발전소,(My Three)태양광발전소,1,0.01003,비회원,비중앙,태양에너지,신재생,발전사업,경기,경기도 포천시
(ok1)태양광발전소,(ok1)태양광발전소,1,0.09996,비회원,비중앙,태양에너지,신재생,발전사업,경기,경기도 포천시
(ok2)태양광발전소,(ok2)태양광발전소,1,0.09996,비회원,비중앙,태양에너지,신재생,발전사업,경기,경기도 포천시
(SRM)관형태양광,(SRM)관형태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)광양1호태양광,(SRM)광양1호태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)광양태양광발전소,(SRM)광양태양광발전소,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김덕근태양광,(SRM)김덕근태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김덕호태양광,(SRM)김덕호태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김성태태양광,(SRM)김성태태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김양곤1호태양광,(SRM)김양곤1호태양광,1,0.05,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김양곤2호태양광,(SRM)김양곤2호태양광,1,0.05,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김영돈태양광,(SRM)김영돈태양광,1,0.02,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)김종숙태양광,(SRM)김종숙태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)등대태양광,(SRM)등대태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)무궁화태양광,(SRM)무궁화태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)삼정1호태양광,(SRM)삼정1호태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)신성태양광2호,(SRM)신성태양광2호,1,0.098,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)아미태양광,(SRM)아미태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)안순녀태양광,(SRM)안순녀태양광,1,0.075,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)오교율태양광,(SRM)오교율태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)유동열1호태양광,(SRM)유동열1호태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)유만식태양광,(SRM)유만식태양광,1,0.02,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)이휘성태양광,(SRM)이휘성태양광,1,0.099,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(SRM)조순규태양광,(SRM)조순규태양광,1,0.02,비회원,비중앙,태양에너지,신재생,발전사업,전북,전북특별자치도 고창군
(김윤형)건영1호태양광발전소,(김윤형)건영1호태양광발전소,1,0.148,비회원,비중앙,태양에너지,신재생,발전사업,충남,충청남도 논산시
(농암)혜경태양광발전소,(농암)혜경태양광발전소,1,0.296,비회원,비중앙,태양에너지,신재생,발전사업,경북,경상북도 문경시
(문방자)평월태양광발전소,(문방자)평월태양광발전소,1,0.029,비회원,비중앙,태양에너지,신재생,발전사업,경기,경기도 평택시
(문화마을)청룡태양태양광발전소2호,(문화마을)청룡태양태양광발전소2호,1,0.02,비회원,비중앙,태양에너지,신재생,발전사업,충남,충청남도 공주시
(사)담배인삼공제회 태양광발전소,(사)담배인삼공제회 태양광발전소,1,0.494,비회원,비중앙,태양에너지,신재생,발전사업,광주,광주광역시 북구
(사)신원면생활체육협의회태양광발전소,(사)신원면생활체육협의회태양광발전소,1,0.09,비회원,비중앙,태양에너지,신재생,발전사업,경남,경상남도 거창군
(사)신원면생활체육협의회태양광발전소,(사)신원면생활체육협의회태양광발전소,1,0.09,비회원,비중앙,태양에너지,신재생,발전사업,경남,경상남도 거창군
(사)신원면생활체육협의회태양광발전소,(사)신원면생활체육협의회태양광발전소,1,0.09,비회원,비중앙,태양에너지,신재생,발전사업,경남,경상남도 거창군
(사)한국샘물협회 태양광,(사)한국샘물협회 태양광,1,0.3,비회원,비중앙,태양에너지,신재생,발전사업,충북,충청북도 음성군
(사)한국샘물협회 태양광발전소,(사)한국샘물협회 태양광발전소,1,0.19992,비회원,비중앙,태양에너지,신재생,발전사업,충북,충청북도 음성군
