순번,발전사명,에너지원,사업명,용량(kw),착공년월,준공년월,위치,투자유형
1,한국동서발전,ESS,제일화성,1200,2017-09,2018-03,울산광역시 울주군 온산읍,정부공모
2,한국동서발전,ESS,태광산업 석유화학 2공장,2400,2017-09,2018-03,울산광역시 남구 여천동,정부공모
3,한국동서발전,ESS,롯데정밀화학,3600,2017-09,2018-03,울산광역시 남구,정부공모
4,한국동서발전,ESS,한국제지 온산공장,3600,2017-09,2018-03,울산광역시 울주군 온산읍,정부공모
5,한국동서발전,ESS,한국프랜지공업 3공장,3600,2017-09,2018-03,울산광역시 동구,정부공모
6,한국동서발전,ESS,에스엔에프코리아,3600,2017-09,2018-03,울산광역시 남구,정부공모
7,한국동서발전,ESS,문수축구경기장,2400,2017-09,2018-03,울산광역시 남구,정부공모
8,한국동서발전,ESS,용연수질개선사업소,3000,2018-10,2020-06,울산광역시 남구,정부공모
9,한국동서발전,ESS,천상정수장,3379,2018-10,2020-06,울산광역시 울주군 범서읍,정부공모
10,한국동서발전,ESS,울산과학기술원(UNIST),1000,2018-10,2020-06,울산광역시 울주군 언양읍,정부공모
11,한국동서발전,ESS,진양화학,2009,2018-10,2019-03,울산광역시 남구,정부공모
12,한국동서발전,ESS,동국제강 인천공장,108000,2018-09,2019-01,인천광역시 동구,자체투자
13,한국동서발전,ESS,1차 코닝정밀소재(1단지+2단지),30000,2018-12,2019-05,충남 아산시 탕정면,자체투자
14,한국동서발전,ESS,2차 코닝정밀소재(1단지+2단지),83000,2020-06,2020-12,충남 아산시 탕정면,자체투자
15,한국동서발전,ESS,KG 동부제철 당진공장,174000,2021-07,2021-10,충남 당진시 송악읍,자체투자
16,한국동서발전,ESS,LG전자 창원공장,163000,2022-05,2022-11,경남 창원시 성산구,자체투자
17,한국동서발전,ESS,심산기념 문화센터,273,2020-05,2021-10,서울 서초구,정부공모
18,한국동서발전,ESS,구립서초 노인요양센터,273,2020-05,2021-10,서울 서초구,정부공모
19,한국동서발전,ESS,한우리 정보문화센터,273,2020-05,2021-10,서울 서초구,정부공모
20,한국동서발전,ESS,서초종합체육관,136,2020-05,2021-10,서울 서초구,정부공모
21,한국동서발전,태양광,씨제이전기,199.8,2018-10,2019-05,울산광역시 울주군 웅촌면,정부공모
22,한국동서발전,태양광,용연수질개선사업소,622.3,2018-10,2019-05,울산광역시 남구,정부공모
23,한국동서발전,태양광,천상정수장,53.3,2018-10,2019-05,울산광역시 울주군 범서읍,정부공모
24,한국동서발전,태양광,진양화학,5.2,2018-10,2019-05,울산광역시 남구,정부공모
25,한국동서발전,태양광,울산과학기술원(UNIST),266.4,2018-10,2019-05,울산광역시 울주군 언양읍,정부공모
26,한국동서발전,태양광,태라테크,571.2,2020-05,2021-04,울산광역시 울주군 온산읍,자체투자
27,한국동서발전,태양광,오케이텍,136,2020-05,2021-04,울산광역시 울주군 온산읍,자체투자
28,한국동서발전,태양광,티에스엠텍,2223.6,2020-05,2021-04,울산광역시 울주군 청량면,자체투자
29,한국동서발전,태양광,창신인터내셔날,306,2020-05,2021-04,울산광역시 울주군 온산읍,자체투자
30,한국동서발전,태양광,한공건설,340,2020-05,2021-04,울산광역시 울주군 온산읍,자체투자
31,한국동서발전,태양광,한국몰드,421.6,2020-05,2021-04,울산광역시 북구,자체투자
32,한국동서발전,태양광,대양특수강,190.4,2020-05,2021-04,울산광역시 북구,자체투자
33,한국동서발전,태양광,대양특수강,102,2020-05,2021-04,울산광역시 북구,자체투자
34,한국동서발전,태양광,성현산업,625.6,2020-05,2021-04,울산광역시 북구,자체투자
35,한국동서발전,태양광,이레테크,816,2020-05,2021-04,울산광역시 울주군 언양읍,자체투자
36,한국동서발전,태양광,이레테크,387.6,2020-05,2021-04,울산광역시 남구,자체투자
37,한국동서발전,태양광,정일울산컨테이너터미널,380.8,2020-05,2021-04,울산광역시 울주군 언양읍,자체투자
38,한국동서발전,태양광,디제이에프,945.2,2020-12,2021-10,부산 강서구,자체투자
39,한국동서발전,태양광,터보파워텍,1230.8,2020-12,2021-10,부산 사하구,자체투자
40,한국동서발전,태양광,한울항공기계,299.2,2020-12,2021-10,부산 강서구,자체투자
41,한국동서발전,태양광,성일터빈,673.2,2020-12,2021-10,부산 강서구,자체투자
42,한국동서발전,태양광,성일엔케어,938.4,2020-12,2021-10,부산 강서구,자체투자
43,한국동서발전,태양광,유원테크,217.6,2020-12,2021-10,경남 김해시 진례면,자체투자
44,한국동서발전,태양광,포스텍,95.2,2020-12,2021-10,경남 김해시 분성로,자체투자
