발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
영동태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,18.432,20.64,20.544,20.832,21.024,21.12,21.312,188.928,554.688,689.28,551.808,0.0,0.0,0.0,0.0,2128.608,89,689.28,18.432,689.28,0,남동발전량_2025_01.csv
삼천포태양광#5,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,2.54,174.199,191.158,192.578,203.724,287.532,215.068,188.912,414.035,2396.647,2488.857,688.844,0.0,0.0,0.0,0.0,0.0,7444.094,310,2488.85,2.54,2488.857,0,남동발전량_2025_01.csv
삼천포태양광#5,2, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,8.635,277.206,300.391,311.403,294.674,426.652,286.757,289.313,726.193,4113.171,3799.654,1733.996,0.0,0.0,0.0,0.0,0.0,12568.045,524,4113.17,8.63,4113.171,0,남동발전량_2025_01.csv
광양항세방태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,4.8,204.0,429.6,326.4,847.2,384.0,429.6,338.4,266.4,88.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,3321.6,138,847.2,2.4,847.2,0,남동발전량_2025_01.csv
두산엔진MG태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.54,4.14,10.38,18.96,30.18,25.44,30.24,13.32,7.56,3.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,144.72,6,30.24,0.48,30.24,0,남동발전량_2025_01.csv
삼천포태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.024,5.64,10.368,21.228,23.076,27.18,14.028,4.428,4.752,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.696,5,27.18,0.024,27.18,0,남동발전량_2025_01.csv
삼천포태양광,2, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,5.28,73.632,170.592,336.192,354.048,444.864,239.808,98.112,100.896,41.856,2.112,0.0,0.0,0.0,0.0,0.0,0.0,1867.392,78,444.86,2.112,444.864,0,남동발전량_2025_01.csv
삼천포태양광,3, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.864,22.356,53.136,111.6,112.248,141.66,75.024,28.944,30.276,10.728,0.108,0.0,0.0,0.0,0.0,0.0,0.0,586.944,24,141.66,0.108,141.66,0,남동발전량_2025_01.csv
삼천포태양광,4, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,1.201,75.589,94.822,95.359,93.31,98.353,95.13,88.289,175.713,1187.214,895.793,0.0,0.0,0.0,0.0,0.0,0.0,2900.773,121,1187.21,1.201,1187.214,0,남동발전량_2025_01.csv
구미태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.145,43.679,59.01,150.778,317.105,378.212,387.179,179.56,215.501,178.692,31.602,0.0,0.0,0.0,0.0,0.0,0.0,1941.463,81,387.17,0.14,387.179,0,남동발전량_2025_01.csv
삼천포태양광#6,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,54.062,86.021,86.046,82.42,87.495,86.301,71.998,76.554,509.376,417.417,0.0,0.0,0.0,0.0,0.0,0.0,1557.69,65,509.37,54.062,509.376,0,남동발전량_2025_01.csv
영흥태양광#5,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,67.495,221.768,337.474,385.684,359.168,250.695,204.895,81.958,14.463,2.411,0.0,0.0,0.0,0.0,0.0,0.0,1926.011,80,385.68,2.411,385.684,0,남동발전량_2025_01.csv
영흥태양광 #3,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,23.76,88.32,100.56,100.08,100.56,100.32,94.56,38.64,443.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.56,45,443.76,23.76,443.76,0,남동발전량_2025_01.csv
영흥태양광 #3,2, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,9.216,45.888,49.632,51.552,51.168,48.0,45.6,9.504,194.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.672,21,194.11,9.216,194.112,0,남동발전량_2025_01.csv
영흥태양광 #3,3, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.96,38.52,48.6,46.32,48.36,39.96,40.32,4.08,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.72,15,99.6,0.96,99.6,0,남동발전량_2025_01.csv
영흥태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,5.952,40.858,61.363,93.235,66.662,43.738,40.973,10.138,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.957,15,93.23,0.038,93.235,0,남동발전량_2025_01.csv
예천태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,56.34,176.94,331.74,466.56,525.06,238.68,263.88,357.3,156.6,12.24,0.0,0.0,0.0,0.0,0.0,0.0,2585.34,108,525.06,12.24,525.06,0,남동발전량_2025_01.csv
여수태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.61,237.61,10,237.61,237.61,237.61,0,남동발전량_2025_01.csv
영흥태양광,2, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,3.886,38.598,47.347,52.219,52.181,42.48,40.531,9.667,1.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.833,12,52.21,1.92,52.219,0,남동발전량_2025_01.csv
탑선태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,366.0,15,366.0,366.0,366.0,0,남동발전량_2025_01.csv
탑선태양광,3, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.6,363.6,15,363.6,363.6,363.6,0,남동발전량_2025_01.csv
경상대태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,0.936,81.648,219.096,286.416,173.664,326.088,222.552,77.184,50.472,24.84,1.152,0.0,0.0,0.0,0.0,0.0,0.0,1464.048,61,326.08,0.936,326.088,0,남동발전량_2025_01.csv
고흥만 수상태양광,1, 2025-01-31 00:00:00,0,0,0,0,0,0.0,0.0,351.288,3723.804,4807.152,7732.536,9228.072,18080.748,10304.448,8199.996,8217.804,5712.504,299.376,0.0,0.0,0.0,0.0,0.0,0.0,76657.728,3194,18080.74,299.376,18080.748,0,남동발전량_2025_01.csv
영동태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.288,18.528,18.816,18.048,19.008,133.344,752.448,632.928,274.464,570.144,689.76,687.84,413.376,0.0,0.0,0.0,4228.992,176,752.44,0.288,752.448,0,남동발전량_2025_01.csv
삼천포태양광#5,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,3.963,164.819,192.96,238.327,225.531,243.032,2137.774,2334.9,1466.141,2481.595,1870.818,2453.797,1929.294,0.0,0.0,0.0,0.0,15742.951,656,2481.59,3.963,2481.595,0,남동발전량_2025_01.csv
