년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-08-15,1,4142.16,172.59,640.8,0,640.8,18.72,0,0,0,0,0,0,24.48,97.92,118.8,285.12,545.04,619.92,640.8,634.32,563.04,294.48,191.52,108,18.72,0,0,0,0,0
2020-08-16,1,4131.36,172.14,634.32,0,634.32,24.48,0,0,0,0,0,0,24.48,102.24,102.96,286.56,560.16,634.32,592.56,623.52,541.44,344.88,192.24,96.48,29.52,0,0,0,0,0
2020-08-17,1,4047.12,168.63,631.44,0,631.44,18,0,0,0,0,0,0,19.44,84.96,122.4,288,532.08,604.8,631.44,617.76,537.84,336.96,149.76,103.68,18,0,0,0,0,0
2020-08-18,1,3951.36,164.64,633.6,0,633.6,16.56,0,0,0,0,0,0,20.16,93.6,117.36,281.52,511.2,497.52,633.6,612.72,528.48,360,182.16,96.48,16.56,0,0,0,0,0
2020-08-19,1,4080.96,170.04,639.36,0,639.36,11.52,0,0,0,0,0,0,20.16,92.16,95.76,264.96,532.8,606.96,639.36,622.08,555.12,371.52,176.4,92.16,11.52,0,0,0,0,0
2020-08-20,1,3901.68,162.57,613.44,0,613.44,14.4,0,0,0,0,0,0,20.88,84.96,84.24,257.04,522,596.16,613.44,592.56,511.2,343.44,172.8,88.56,14.4,0,0,0,0,0
2020-08-21,1,3918.24,163.26,617.04,0,617.04,15.12,0,0,0,0,0,0,19.44,88.56,136.8,262.8,451.44,593.28,617.04,596.16,518.4,347.76,178.56,92.88,15.12,0,0,0,0,0
2020-08-22,1,3237.84,134.91,571.68,0,571.68,6.48,0,0,0,0,0,0,17.28,87.84,154.08,348.48,486.72,571.68,424.8,368.64,222.48,314.64,169.2,65.52,6.48,0,0,0,0,0
2020-08-23,1,3757.68,156.57,619.2,0,619.2,5.76,0,0,0,0,0,0,5.76,88.56,137.52,209.52,410.4,588.96,619.2,573.84,516.24,342.72,167.76,84.24,12.96,0,0,0,0,0
2020-08-24,1,3934.8,163.95,626.4,0,626.4,10.08,0,0,0,0,0,0,15.84,82.08,110.16,256.32,521.28,599.04,626.4,605.52,530.64,339.84,154.08,83.52,10.08,0,0,0,0,0
2020-08-25,1,3488.4,145.35,564.48,0,564.48,8.64,0,0,0,0,0,0,18.72,87.84,105.12,248.4,461.52,497.52,564.48,489.6,489.6,303.84,136.8,76.32,8.64,0,0,0,0,0
2020-08-26,1,2336.4,97.35,390.96,0,390.96,2.16,0,0,0,0,0,0,21.6,59.04,98.64,235.44,390.96,269.28,356.4,205.92,313.92,213.84,132.48,36.72,2.16,0,0,0,0,0
2020-08-27,1,1216.08,50.67,313.92,0,313.92,3.6,0,0,0,0,0,0,0,3.6,48.24,127.44,121.68,64.08,172.08,313.92,120.24,51.84,128.88,54.72,9.36,0,0,0,0,0
2020-08-28,1,3296.16,137.34,653.76,0,653.76,10.8,0,0,0,0,0,0,23.04,88.56,108.72,250.56,198.72,429.84,653.76,546.48,395.28,382.32,150.48,57.6,10.8,0,0,0,0,0
2020-08-29,1,3160.8,131.7,523.44,0,523.44,5.76,0,0,0,0,0,0,7.92,44.64,95.76,237.6,509.04,424.8,391.68,501.84,523.44,278.64,97.2,42.48,5.76,0,0,0,0,0
2020-08-30,1,3618.72,150.78,623.52,0,623.52,15.84,0,0,0,0,0,0,15.84,51.12,39.6,215.28,524.88,607.68,623.52,452.88,522.72,367.92,162,35.28,0,0,0,0,0,0
2020-08-31,1,2426.4,101.1,408.24,0,408.24,1.44,0,0,0,0,0,0,6.48,65.52,85.68,141.12,293.76,162.72,408.24,367.92,407.52,298.08,127.44,60.48,1.44,0,0,0,0,0
2020-09-01,1,1909.44,79.56,306,0,306,2.88,0,0,0,0,0,0,2.88,28.08,130.32,254.16,296.64,306,208.08,265.68,141.12,129.6,94.32,52.56,0,0,0,0,0,0
2020-09-02,1,1280.16,53.34,288.72,0,288.72,0.72,0,0,0,0,0,0,0.72,15.12,51.12,146.16,270,288.72,208.08,110.88,104.4,43.2,24.48,17.28,0,0,0,0,0,0
2020-09-03,1,1703.52,70.98,333.36,0,333.36,2.16,0,0,0,0,0,0,0,24.48,59.76,109.44,165.6,192.24,333.36,321.84,293.04,142.56,38.88,20.16,2.16,0,0,0,0,0
2020-09-04,1,1880.64,78.36,329.04,0,329.04,0.72,0,0,0,0,0,0,3.6,15.12,26.64,127.44,279.36,315.36,329.04,318.24,278.64,138.96,30.96,16.56,0.72,0,0,0,0,0
2020-09-05,1,179.28,7.47,46.08,0,46.08,0.72,0,0,0,0,0,0,0,1.44,0.72,10.8,17.28,41.04,46.08,33.12,15.12,7.92,5.04,0.72,0,0,0,0,0,0
2020-09-06,1,378.72,15.78,59.04,0,59.04,5.76,0,0,0,0,0,0,0,14.4,37.44,40.32,45.36,18.72,48.96,43.2,59.04,46.8,18.72,5.76,0,0,0,0,0,0
2020-09-07,1,365.76,15.24,73.44,0,73.44,0.72,0,0,0,0,0,0,0,0,10.8,26.64,63.36,54.72,73.44,29.52,44.64,21.6,19.44,20.88,0.72,0,0,0,0,0
2020-09-08,1,1722.96,71.79,300.96,0,300.96,0.72,0,0,0,0,0,0,5.04,30.96,69.12,110.88,219.6,296.64,268.56,300.96,232.56,120.96,50.4,16.56,0.72,0,0,0,0,0
2020-09-09,1,1435.68,59.82,297.36,0,297.36,1.44,0,0,0,0,0,0,1.44,19.44,24.48,17.28,92.16,241.2,297.36,293.04,249.84,132.48,51.12,15.84,0,0,0,0,0,0
2020-09-10,1,1749.6,72.9,300.24,0,300.24,2.16,0,0,0,0,0,0,6.48,20.16,52.56,156.24,228.96,269.28,264.96,300.24,254.16,142.56,30.24,21.6,2.16,0,0,0,0,0
2020-09-11,1,651.6,27.15,128.88,0,128.88,0.72,0,0,0,0,0,0,0.72,19.44,26.64,37.44,91.44,68.4,100.08,128.88,79.2,65.52,27.36,6.48,0,0,0,0,0,0
2020-09-12,1,1286.64,53.61,273.6,0,273.6,0.72,0,0,0,0,0,0,0,6.48,47.52,169.92,273.6,226.08,248.4,118.8,90.72,59.04,28.8,16.56,0.72,0,0,0,0,0
2020-09-13,1,901.44,37.56,283.68,0,283.68,2.16,0,0,0,0,0,0,2.16,27.36,70.56,182.88,283.68,187.92,89.28,22.32,13.68,9.36,8.64,3.6,0,0,0,0,0,0
2020-09-14,1,1729.44,72.06,314.64,0,314.64,0.72,0,0,0,0,0,0,2.16,28.8,72.72,154.08,198,214.56,311.76,314.64,270.72,113.76,36.72,10.8,0.72,0,0,0,0,0
2020-09-15,1,1862.64,77.61,314.64,0,314.64,0.72,0,0,0,0,0,0,1.44,13.68,42.48,170.64,268.56,302.4,314.64,303.84,258.48,123.12,46.08,16.56,0.72,0,0,0,0,0
2020-09-16,1,367.92,15.33,59.76,0,59.76,0.72,0,0,0,0,0,0,1.44,12.96,29.52,33.84,11.52,39.6,31.68,59.76,54.72,50.4,41.76,0.72,0,0,0,0,0,0
2020-09-17,1,352.08,14.67,82.08,0,82.08,3.6,0,0,0,0,0,0,0,17.28,19.44,15.84,28.08,82.08,57.6,21.6,46.8,32.4,27.36,3.6,0,0,0,0,0,0
2020-09-18,1,729.36,30.39,118.08,0,118.08,5.04,0,0,0,0,0,0,0,5.04,29.52,44.64,82.8,118.08,110.16,115.92,83.52,88.56,40.32,10.8,0,0,0,0,0,0
2020-09-19,1,1697.04,70.71,287.28,0,287.28,0.72,0,0,0,0,0,0,0.72,11.52,46.8,185.76,267.84,272.88,287.28,216,228.24,108,51.84,19.44,0.72,0,0,0,0,0
2020-09-20,1,1927.44,80.31,329.04,0,329.04,0.72,0,0,0,0,0,0,0.72,7.92,45.36,200.16,286.56,318.24,329.04,317.52,272.16,120.96,20.16,8.64,0,0,0,0,0,0
2020-09-21,1,1523.52,63.48,254.16,0,254.16,0.72,0,0,0,0,0,0,0.72,11.52,53.28,172.08,242.64,254.16,245.52,249.84,154.8,113.04,17.28,8.64,0,0,0,0,0,0
2020-09-22,1,1272.96,53.04,242.64,0,242.64,2.16,0,0,0,0,0,0,2.16,29.52,67.68,149.04,172.08,105.12,164.16,210.24,242.64,107.28,16.56,6.48,0,0,0,0,0,0
2020-09-23,1,964.08,40.17,155.52,0,155.52,2.16,0,0,0,0,0,0,2.16,29.52,79.2,155.52,150.48,104.4,119.52,115.2,95.04,72.72,33.84,6.48,0,0,0,0,0,0
2020-09-24,1,1473.84,61.41,273.6,0,273.6,0.72,0,0,0,0,0,0,1.44,20.16,66.96,155.52,203.76,267.12,273.6,251.28,133.2,51.84,30.96,17.28,0.72,0,0,0,0,0
2020-09-25,1,7.92,0.33,7.2,0,7.2,0.72,0,0,0,0,0,0,0.72,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,1,153.36,6.39,87.84,0,87.84,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2,87.84,20.16,2.16,0,0,0,0,0,0
2020-10-13,1,1674.72,69.78,305.28,0,305.28,2.88,0,0,0,0,0,0,2.88,32.4,95.04,125.28,277.2,296.64,305.28,288,157.68,66.96,27.36,0,0,0,0,0,0,0
2020-10-14,1,1201.68,50.07,244.8,0,244.8,1.44,0,0,0,0,0,0,0,13.68,76.32,59.76,160.56,195.12,244.8,176.4,170.64,84.96,18,1.44,0,0,0,0,0,0
2020-10-15,1,1566.72,65.28,280.08,0,280.08,0.72,0,0,0,0,0,0,0,13.68,86.4,204.48,261.36,280.08,264.24,238.32,120.96,73.44,23.04,0.72,0,0,0,0,0,0
2020-10-16,1,327.6,13.65,72,0,72,0.72,0,0,0,0,0,0,0.72,10.8,29.52,57.6,30.96,23.76,72,41.04,33.84,18,9.36,0,0,0,0,0,0,0
2020-10-17,1,1735.92,72.33,283.68,0,283.68,2.16,0,0,0,0,0,0,0,15.84,97.2,198.72,256.32,277.2,283.68,266.4,210.96,97.2,30.24,2.16,0,0,0,0,0,0
2020-10-18,1,1651.68,68.82,285.84,0,285.84,2.16,0,0,0,0,0,0,0,17.28,96.48,198,259.2,285.84,275.76,203.76,197.28,94.32,21.6,2.16,0,0,0,0,0,0
2020-10-19,1,1730.88,72.12,277.92,0,277.92,1.44,0,0,0,0,0,0,0,18.72,105.12,212.4,257.76,275.04,277.92,270.72,192.96,92.16,26.64,1.44,0,0,0,0,0,0
2020-10-20,1,1712.88,71.37,294.48,0,294.48,0.72,0,0,0,0,0,0,0,15.84,97.92,194.4,249.84,285.84,294.48,268.56,195.12,90.72,19.44,0.72,0,0,0,0,0,0
2020-10-21,1,650.88,27.12,156.24,0,156.24,0.72,0,0,0,0,0,0,0,20.88,64.8,105.12,134.64,156.24,90,46.8,27.36,4.32,0.72,0,0,0,0,0,0,0
2020-10-22,1,303.84,12.66,68.4,0,68.4,5.04,0,0,0,0,0,0,0,5.04,12.96,32.4,43.2,68.4,47.52,23.76,25.2,36.72,8.64,0,0,0,0,0,0,0
2020-10-23,1,1958.4,81.6,322.56,0,322.56,0.72,0,0,0,0,0,0,0,15.84,115.92,226.08,288.72,316.8,322.56,304.56,249.12,102.24,15.84,0.72,0,0,0,0,0,0
2020-10-24,1,1926.72,80.28,318.24,0,318.24,15.84,0,0,0,0,0,0,0,16.56,112.32,216.72,281.52,311.04,318.24,301.68,248.4,104.4,15.84,0,0,0,0,0,0,0
2020-10-25,1,1844.64,76.86,308.16,0,308.16,0.72,0,0,0,0,0,0,0,16.56,115.92,221.04,278.64,272.16,308.16,293.04,214.56,96.48,27.36,0.72,0,0,0,0,0,0
2020-10-26,1,1797.84,74.91,284.4,0,284.4,16.56,0,0,0,0,0,0,0,16.56,105.84,202.32,259.2,282.24,284.4,264.96,221.04,124.56,36.72,0,0,0,0,0,0,0
2020-10-27,1,2690.64,112.11,522,0,522,35.28,0,0,0,0,0,0,0,35.28,138.96,305.28,321.84,342,522,484.56,361.44,141.84,37.44,0,0,0,0,0,0,0
2020-10-28,1,1632.24,68.01,418.32,0,418.32,0.72,0,0,0,0,0,0,0,1.44,37.44,123.84,213.12,134.64,159.84,418.32,354.96,149.76,38.16,0.72,0,0,0,0,0,0
2020-10-29,1,3096.72,129.03,560.16,0,560.16,28.08,0,0,0,0,0,0,0,28.08,144,339.12,501.84,558,560.16,466.56,311.76,142.56,44.64,0,0,0,0,0,0,0
2020-10-30,1,2969.28,123.72,514.8,0,514.8,0.72,0,0,0,0,0,0,0,25.2,154.08,382.32,514.8,329.76,473.76,514.08,390.96,146.16,37.44,0.72,0,0,0,0,0,0
2020-10-31,1,3188.88,132.87,558.72,0,558.72,2.16,0,0,0,0,0,0,0,18.72,167.04,367.2,482.4,558.72,500.4,528.48,376.56,144.72,42.48,2.16,0,0,0,0,0,0
2020-11-01,1,1390.32,57.93,331.2,0,331.2,1.44,0,0,0,0,0,0,0,12.24,79.92,113.76,105.84,279.36,268.56,331.2,120.24,42.48,35.28,1.44,0,0,0,0,0,0
2020-11-02,1,1067.76,44.49,245.52,0,245.52,31.68,0,0,0,0,0,0,0,0,31.68,54,106.56,102.96,97.2,245.52,242.64,138.96,48.24,0,0,0,0,0,0,0
2020-11-03,1,3540.24,147.51,620.64,0,620.64,26.64,0,0,0,0,0,0,0,26.64,156.24,395.28,564.48,620.64,619.92,559.44,421.2,146.88,29.52,0,0,0,0,0,0,0
2020-11-04,1,3470.4,144.6,601.92,0,601.92,24.48,0,0,0,0,0,0,0,26.64,172.8,365.04,554.4,594.72,601.92,559.44,423.36,147.6,24.48,0,0,0,0,0,0,0
2020-11-05,1,2921.76,121.74,594,0,594,24.48,0,0,0,0,0,0,0,24.48,168.48,349.2,444.24,341.28,594,462.96,389.52,121.68,25.92,0,0,0,0,0,0,0
2020-11-06,1,2064.96,86.04,398.88,0,398.88,1.44,0,0,0,0,0,0,0,26.64,205.2,219.6,398.88,380.88,383.04,234.72,141.84,72.72,1.44,0,0,0,0,0,0,0
2020-11-07,1,1963.44,81.81,460.08,0,460.08,5.04,0,0,0,0,0,0,0,5.04,61.92,139.68,261.36,264.24,257.76,460.08,352.8,133.2,27.36,0,0,0,0,0,0,0
2020-11-08,1,3102.48,129.27,540,0,540,21.6,0,0,0,0,0,0,0,21.6,152.64,357.84,473.04,536.4,540,496.8,360.72,133.92,29.52,0,0,0,0,0,0,0
2020-11-09,1,3460.32,144.18,596.16,0,596.16,21.6,0,0,0,0,0,0,0,21.6,167.76,407.52,538.56,596.16,593.28,551.52,414.72,146.16,23.04,0,0,0,0,0,0,0
2020-11-10,1,3240.72,135.03,567.36,0,567.36,21.6,0,0,0,0,0,0,0,21.6,148.32,362.88,506.88,562.32,567.36,520.56,387.36,138.24,25.2,0,0,0,0,0,0,0
2020-11-11,1,3064.32,127.68,525.6,0,525.6,18.72,0,0,0,0,0,0,0,18.72,149.76,362.88,483.12,520.56,525.6,475.92,364.32,136.08,27.36,0,0,0,0,0,0,0
2020-11-12,1,3091.68,128.82,537.84,0,537.84,17.28,0,0,0,0,0,0,0,17.28,142.56,358.56,482.4,529.92,537.84,498.96,365.76,133.92,24.48,0,0,0,0,0,0,0
2020-11-13,1,2851.2,118.8,500.4,0,500.4,18,0,0,0,0,0,0,0,18,137.52,325.44,441.36,491.76,500.4,450.72,330.48,128.16,27.36,0,0,0,0,0,0,0
2020-11-14,1,2047.68,85.32,491.76,0,491.76,15.12,0,0,0,0,0,0,0,15.12,131.04,236.16,109.44,184.32,382.32,491.76,363.6,108.72,25.2,0,0,0,0,0,0,0
2020-11-15,1,2908.8,121.2,505.44,0,505.44,12.96,0,0,0,0,0,0,0,12.96,138.24,295.92,464.4,473.04,505.44,486,378.72,131.76,22.32,0,0,0,0,0,0,0
2020-11-16,1,2835.36,118.14,516.96,0,516.96,23.76,0,0,0,0,0,0,0,23.76,135.36,331.92,414.72,456.48,516.96,460.8,354.96,115.2,25.2,0,0,0,0,0,0,0
2020-11-17,1,1331.28,55.47,262.8,0,262.8,4.32,0,0,0,0,0,0,0,4.32,52.56,126.72,213.84,146.88,262.8,200.16,188.64,114.48,20.88,0,0,0,0,0,0,0
