년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2021-12-02,1,999.6,2247.574,93.649,397.014,0,397.014,1.446,0,0,0,0,0,0,0,1.446,49.898,394.121,397.014,381.104,363.025,266.845,200.315,151.863,37.604,4.339,0,0,0,0,0,0
2021-12-03,1,999.6,3668.58,152.858,734.005,0,734.005,0.723,0,0,0,0,0,0,0,7.955,125.829,410.031,294.325,591.543,732.559,734.005,519.951,225.625,26.034,0.723,0,0,0,0,0,0
2021-12-04,1,999.6,4014.249,167.26,707.248,0,707.248,5.062,0,0,0,0,0,0,0,0,26.034,398.46,551.046,673.26,707.248,652.288,554.662,342.777,103.412,5.062,0,0,0,0,0,0
2021-12-05,1,999.6,1658.922,69.122,344.946,0,344.946,1.446,0,0,0,0,0,0,0,8.678,76.655,171.388,344.946,167.049,206.823,225.625,174.281,216.947,65.084,1.446,0,0,0,0,0,0
2021-12-06,1,999.6,4011.355,167.14,734.728,0,734.728,1.446,0,0,0,0,0,0,0,10.124,164.88,441.849,606.006,687.723,691.339,734.728,583.588,57.853,31.819,1.446,0,0,0,0,0,0
2021-12-07,1,999.6,4346.178,181.091,736.898,0,736.898,2.893,0,0,0,0,0,0,0,10.847,157.648,449.804,625.532,720.265,736.898,678.322,542.368,332.653,88.948,2.893,0,0,0,0,0,0
2021-12-08,1,999.6,3660.624,152.526,724.604,0,724.604,1.446,0,0,0,0,0,0,0,2.169,55.683,299.387,509.103,724.604,559.724,543.815,548.154,330.483,86.056,1.446,0,0,0,0,0,0
2021-12-09,1,999.6,1836.098,76.504,391.952,0,391.952,0.723,0,0,0,0,0,0,0,5.062,72.316,120.044,391.952,185.128,146.801,238.642,303.726,318.913,52.791,0.723,0,0,0,0,0,0
2021-12-10,1,999.6,3130.55,130.44,632.763,0,632.763,2.169,0,0,0,0,0,0,0,10.124,120.044,407.138,564.786,632.763,599.498,255.275,224.902,233.58,80.271,2.169,0,0,0,0,0,0
2021-12-11,1,999.6,2100.774,87.532,472.945,0,472.945,0.723,0,0,0,0,0,0,0,0.723,34.712,119.321,193.806,241.535,218.394,443.296,472.945,284.201,88.948,2.893,0,0,0,0,0,0
2021-12-12,1,999.6,2324.952,96.873,506.211,0,506.211,2.169,0,0,0,0,0,0,0,6.508,26.757,53.514,147.524,478.731,485.962,506.211,395.567,165.603,56.406,2.169,0,0,0,0,0,0
2021-12-13,1,999.6,4087.287,170.304,743.406,0,743.406,1.446,0,0,0,0,0,0,0,1.446,123.66,344.946,538.029,694.955,743.406,693.508,553.939,332.653,58.576,2.169,0,0,0,0,0,0
2021-12-14,1,999.6,3256.379,135.682,733.282,0,733.282,2.893,0,0,0,0,0,0,0,10.847,146.801,385.443,317.466,663.859,733.282,409.307,350.008,174.281,62.192,2.893,0,0,0,0,0,0
