년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-12-05,1,637.6,26.567,125.7,0,125.7,0.1,0,0,0,0,0,0,0,0.5,20,56,100.5,125.7,122.9,91.3,56.8,50.6,13.2,0.1,0,0,0,0,0,0
2020-12-06,1,581.1,24.213,134.2,0,134.2,0.2,0,0,0,0,0,0,0,0.4,12.3,51.4,70.3,108.9,134.2,105.4,46.1,38.2,13.7,0.2,0,0,0,0,0,0
2020-12-07,1,590.7,24.613,105.9,0,105.9,0.1,0,0,0,0,0,0,0,0.1,16.8,45.2,84.1,105.9,97,95.4,80.2,51.6,14.2,0.2,0,0,0,0,0,0
2020-12-08,1,830.1,34.588,154.9,0,154.9,0.3,0,0,0,0,0,0,0,1.1,14.9,64.8,119.3,146.3,154.9,143,112.8,61,11.7,0.3,0,0,0,0,0,0
2020-12-09,1,554.2,23.092,128,0,128,0.4,0,0,0,0,0,0,0,0.4,11.6,51.3,97,124.2,128,76,39.5,19.6,6.6,0,0,0,0,0,0,0
2020-12-10,1,460.6,19.192,119.2,0,119.2,3.3,0,0,0,0,0,0,0,0,7,29.6,33.5,69.3,119.2,96.7,54.6,47.4,3.3,0,0,0,0,0,0,0
2020-12-11,1,456.8,19.033,105.4,0,105.4,7.6,0,0,0,0,0,0,0,0,7.6,40,46.6,65.6,105.4,76.1,56.3,43.1,16.1,0,0,0,0,0,0,0
2020-12-12,1,720.7,30.029,138.4,0,138.4,0.1,0,0,0,0,0,0,0,0.1,12.8,48.8,98,127,138.4,129.6,99.5,52.5,13.8,0.2,0,0,0,0,0,0
2020-12-13,1,194.2,8.092,75.4,0,75.4,0.1,0,0,0,0,0,0,0,0,0,0.9,12,27.1,5.7,18.5,75.4,43.8,10.7,0.1,0,0,0,0,0,0
2020-12-14,1,860,35.833,156.6,0,156.6,0.1,0,0,0,0,0,0,0,0.4,17.7,60.6,117.2,143.6,156.6,150.9,123.6,71.9,17.4,0.1,0,0,0,0,0,0
2020-12-15,1,859.3,35.804,160.2,0,160.2,0.4,0,0,0,0,0,0,0,0.9,19.3,63.7,113.5,142.6,160.2,150.6,121.7,70,16.4,0.4,0,0,0,0,0,0
2020-12-16,1,870.1,36.254,163.2,0,163.2,0.3,0,0,0,0,0,0,0,0.6,15.5,64,122.7,152.7,163.2,151,119.4,67,13.7,0.3,0,0,0,0,0,0
2020-12-17,1,859.7,35.821,160.1,0,160.1,0.3,0,0,0,0,0,0,0,0.3,14.3,66.5,121.7,149.2,160.1,151.4,117.3,64.5,14,0.4,0,0,0,0,0,0
2020-12-18,1,638.3,26.596,149.6,0,149.6,0.3,0,0,0,0,0,0,0,0,0.3,9.5,57.1,82.3,149.6,145.8,114.8,64.7,13.8,0.4,0,0,0,0,0,0
2020-12-19,1,808.4,33.683,156.9,0,156.9,0.1,0,0,0,0,0,0,0,0.1,8.9,53,112.4,145.1,156.9,148,116.7,52.9,14,0.4,0,0,0,0,0,0
2020-12-20,1,789.2,32.883,152.8,0,152.8,0.1,0,0,0,0,0,0,0,0.1,8.9,47.8,103.1,136.6,152.8,145.4,115.8,64.9,13.5,0.3,0,0,0,0,0,0
2020-12-21,1,693.8,28.908,141.4,0,141.4,0.1,0,0,0,0,0,0,0,0.1,11.5,46.8,76.7,109.8,141.4,135.5,100.6,57.2,13.9,0.3,0,0,0,0,0,0
2020-12-22,1,647.4,26.975,130.9,0,130.9,0.3,0,0,0,0,0,0,0,0,11.6,41.9,68.9,93.6,127.7,130.9,102.8,55.1,14.6,0.3,0,0,0,0,0,0
2020-12-23,1,351.5,14.646,85.5,0,85.5,7.1,0,0,0,0,0,0,0,0,8.3,11.2,41,85.5,78.4,62.6,36.4,21,7.1,0,0,0,0,0,0,0
2020-12-24,1,748.1,31.171,144.8,0,144.8,0.3,0,0,0,0,0,0,0,0,11.2,40,88.8,127.9,144.8,140.4,114.9,65.1,14.7,0.3,0,0,0,0,0,0
2020-12-25,1,780.7,32.529,150.2,0,150.2,0.5,0,0,0,0,0,0,0,0,8.8,45.6,99.9,133.4,150.2,144.3,115.6,67.1,15.3,0.5,0,0,0,0,0,0
2020-12-26,1,673.9,28.079,129.8,0,129.8,0.2,0,0,0,0,0,0,0,0,10.5,38.7,79.1,117.4,129.8,123.6,100.1,58,16.5,0.2,0,0,0,0,0,0
2020-12-27,1,600.3,25.013,120.2,0,120.2,0.1,0,0,0,0,0,0,0,0,12.7,43.4,87.1,119.6,120.2,109,70.3,30.2,7.7,0.1,0,0,0,0,0,0
2020-12-28,1,713.6,29.733,135.9,0,135.9,0.2,0,0,0,0,0,0,0,0,13,47.8,93.3,116.8,135.7,135.9,97.7,55.6,17.6,0.2,0,0,0,0,0,0
