년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2021-12-27,1,208.2,15.52,0.647,14.64,0,14.64,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,14.64,0.32,0,0,0,0,0,0
2021-12-28,1,208.2,193.04,8.043,42.56,0,42.56,0.08,0,0,0,0,0,0,0,0.08,8.56,27.12,42.56,29.44,28.88,19.44,18.4,13.76,4.8,0,0,0,0,0,0,0
2021-12-29,1,208.2,451.84,18.827,96.8,0,96.8,0.32,0,0,0,0,0,0,0,0,5.44,28.64,42.96,81.2,96.48,96.8,71.28,20.08,8.64,0.32,0,0,0,0,0,0
2021-12-30,1,208.2,413.92,17.247,78,0,78,0.08,0,0,0,0,0,0,0,0.08,9.12,33.68,78,70.16,49.92,42.72,71.52,42.32,16.16,0.24,0,0,0,0,0,0
2021-12-31,1,208.2,715.52,29.813,130.32,0,130.32,0.24,0,0,0,0,0,0,0,0,10.88,54.8,97.12,123.44,130.32,123.84,100.4,57.84,16.64,0.24,0,0,0,0,0,0
2022-01-01,1,208.2,631.76,26.323,115.36,0,115.36,0.08,0,0,0,0,0,0,0,0.08,10.72,47.6,83.12,104.8,115.36,108.4,89.76,55.84,15.6,0.48,0,0,0,0,0,0
2022-01-02,1,208.2,471.12,19.63,118.32,0,118.32,0.16,0,0,0,0,0,0,0,0,0.16,4,14.4,55.04,92.4,118.32,101.6,66.72,18.08,0.4,0,0,0,0,0,0
2022-01-03,1,208.2,572.48,23.853,100.64,0,100.64,0.08,0,0,0,0,0,0,0,0.08,10.16,37.12,76.16,100.64,99.44,94.72,86.8,49.68,17.36,0.32,0,0,0,0,0,0
2022-01-04,1,208.2,719.92,29.997,130.96,0,130.96,0.08,0,0,0,0,0,0,0,0.08,7.2,46.24,96.56,122.88,130.96,124.4,103.36,68.72,19.04,0.48,0,0,0,0,0,0
2022-01-05,1,208.2,313.28,13.053,54.24,0,54.24,0.16,0,0,0,0,0,0,0,0,11.2,24.08,46.48,54.24,52.08,53.04,40.72,22.8,8.48,0.16,0,0,0,0,0,0
2022-01-06,1,208.2,684.32,28.513,126.4,0,126.4,0.72,0,0,0,0,0,0,0,0,9.92,42.08,89.6,116.48,126.4,118.64,98,64.16,18.32,0.72,0,0,0,0,0,0
2022-01-07,1,208.2,670.96,27.957,124.96,0,124.96,0.56,0,0,0,0,0,0,0,0,10.32,28.16,85.2,105.44,124.72,124.96,102.08,69.04,20.48,0.56,0,0,0,0,0,0
2022-01-08,1,208.2,234.72,9.78,65.04,0,65.04,0.08,0,0,0,0,0,0,0,0.08,5.36,20.96,45.92,65.04,43.44,20,12.16,10.88,10.32,0.56,0,0,0,0,0,0
2022-01-09,1,208.2,548.64,22.86,103.12,0,103.12,1.2,0,0,0,0,0,0,0,0,3.44,24.08,72.72,96.08,103.12,96.8,80.88,52.16,18.16,1.2,0,0,0,0,0,0
2022-01-10,1,208.2,376.88,15.703,84.56,0,84.56,0.24,0,0,0,0,0,0,0,0,9.92,39.52,66,84.56,61.28,53.28,39.36,17.6,5.12,0.24,0,0,0,0,0,0
2022-01-11,1,208.2,672.32,28.013,132.08,0,132.08,1.04,0,0,0,0,0,0,0,0,4,21.6,66.64,108.64,132.08,127.2,109.2,76.8,25.12,1.04,0,0,0,0,0,0
2022-01-12,1,208.2,586.96,24.457,125.12,0,125.12,1.44,0,0,0,0,0,0,0,0,7.2,28.48,81.92,98.16,125.12,107.28,71.44,47.52,18.4,1.44,0,0,0,0,0,0
