년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2022-09-15,1,816,1320.215,55.009,389.059,0,389.059,3.6,0,0,0,0,0,0,15.186,94.011,194.529,245.151,389.059,126.553,193.806,0,0,33.84,24.48,3.6,0,0,0,0,0,0
2022-09-16,1,816,2438.64,101.61,445.68,0,445.68,6.48,0,0,0,0,0,0,6.48,48.96,148.32,304.56,445.68,434.16,324.72,195.12,126.72,234,126.72,34.56,8.64,0,0,0,0,0
2022-09-17,1,816,1894.32,78.93,321.12,0,321.12,1.44,0,0,0,0,0,0,0,18,95.04,227.52,236.16,321.12,318.96,286.56,147.6,151.92,67.68,22.32,1.44,0,0,0,0,0
2022-09-18,1,816,3417.84,142.41,589.68,0,589.68,2.88,0,0,0,0,0,0,10.8,91.44,233.28,417.6,519.12,566.64,589.68,411.84,230.4,192.96,108.72,42.48,2.88,0,0,0,0,0
2022-09-19,1,816,2966.4,123.6,491.76,0,491.76,0.72,0,0,0,0,0,0,0.72,20.88,209.52,269.28,457.92,294.48,302.4,405.36,491.76,365.76,115.92,30.96,1.44,0,0,0,0,0
2022-09-20,1,816,1436.4,59.85,254.88,0,254.88,1.44,0,0,0,0,0,0,0,36,118.8,146.16,149.04,254.88,195.12,156.96,116.64,128.88,94.32,38.16,1.44,0,0,0,0,0
2022-09-21,1,816,2825.28,117.72,509.76,0,509.76,2.88,0,0,0,0,0,0,0,46.08,130.32,191.52,486,509.76,458.64,398.88,277.92,139.68,118.08,65.52,2.88,0,0,0,0,0
2022-09-22,1,816,1753.2,73.05,318.96,0,318.96,0.72,0,0,0,0,0,0,0.72,13.68,62.64,114.48,241.2,237.6,318.96,303.84,156.24,92.88,167.76,41.76,1.44,0,0,0,0,0
2022-09-23,1,816,3268.8,136.2,614.16,0,614.16,1.44,0,0,0,0,0,0,1.44,49.68,213.12,300.24,450.72,576.72,614.16,444.24,391.68,135.36,67.68,23.76,0,0,0,0,0,0
2022-09-24,1,816,3918.96,163.29,639.36,0,639.36,0.72,0,0,0,0,0,0,5.04,87.12,315.36,400.32,442.08,626.4,639.36,574.56,486,188.64,114.48,38.88,0.72,0,0,0,0,0
