년월일,호기,설비용량(kW),총량(kWh),평균(kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2024-01-01,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-02,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-03,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-06,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-07,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-10,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-11,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-13,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-14,(신재생) (하동) 익산 다송리 태양광,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-15,(신재생) (하동) 익산 다송리 태양광,893,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96903,7232,0,0,0,0,0,0
2024-01-16,(신재생) (하동) 익산 다송리 태양광,893,2746,114,0,0,0,0,0,0,0,723,57129,229241,451974,444742,522843,462098,314574,141016,111366,10124,0,0,0,0,0,0
2024-01-17,(신재생) (하동) 익산 다송리 태양광,893,14,1,0,0,0,0,0,0,0,2169,11571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-18,(신재생) (하동) 익산 다송리 태양광,893,676,28,0,0,0,0,0,0,0,0,0,18802,104858,134507,129445,97626,73039,62915,45559,9401,0,0,0,0,0,0
2024-01-19,(신재생) (하동) 익산 다송리 태양광,893,1681,70,0,0,0,0,0,0,0,0,8678,69423,180789,186575,370980,257444,326144,206100,68700,6508,0,0,0,0,0,0
2024-01-20,(신재생) (하동) 익산 다송리 태양광,893,265,11,0,0,0,0,0,0,0,0,7955,15909,25311,45559,45559,55683,41220,21695,5785,0,0,0,0,0,0,0
