날짜,발전기명,충전_방전,01시(Wh),02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-06-01,광양항광양냉장태양광,방전,0,0,0,0,0,1446,34229,120526,248284,312886,403040,478248,480659,480177,433413,405451,314333,190914,72798,5303,0,0,0,0
2022-06-02,광양항광양냉장태양광,방전,0,0,0,0,0,4339,51585,155720,279139,381345,463303,505728,518263,506693,460411,390505,290709,170183,62674,4339,0,0,0,0
2022-06-03,광양항광양냉장태양광,방전,0,0,0,0,0,4339,50621,146078,257444,350491,435823,484516,499461,488373,445947,377971,273836,157648,40015,4339,0,0,0,0
2022-06-04,광양항광양냉장태양광,방전,0,0,0,0,0,7714,55442,134989,259373,357722,451733,444983,460411,391469,254552,218394,241053,142221,43389,1928,0,0,0,0
2022-06-05,광양항광양냉장태양광,방전,0,0,0,0,0,0,4821,8678,12535,118116,149453,82440,55924,39533,28926,28926,5785,9160,1928,0,0,0,0,0
2022-06-06,광양항광양냉장태양광,방전,0,0,0,0,0,4821,41461,174522,187539,141257,203931,225625,348080,538994,525495,444019,334581,203448,78583,6267,0,0,0,0
2022-06-07,광양항광양냉장태양광,방전,0,0,0,0,0,0,27480,108474,296495,136918,90636,249731,270461,356758,209234,61709,35676,18802,3375,0,0,0,0,0
2022-06-08,광양항광양냉장태양광,방전,0,0,0,0,0,1446,9642,34229,79065,113295,182236,287817,304208,218394,77137,244909,278657,202002,62674,6267,0,0,0,0
2022-06-09,광양항광양냉장태양광,방전,0,0,0,0,0,3857,47728,97385,219840,366882,464749,492229,506693,466196,380863,376524,255034,145596,53996,5785,0,0,0,0
2022-06-10,광양항광양냉장태양광,방전,0,0,0,0,0,5785,62192,148971,281549,385202,458964,414611,330242,330724,281067,213091,118598,97867,56888,2411,0,0,0,0
2022-06-11,광양항광양냉장태양광,방전,0,0,0,0,0,1446,31337,76655,148006,300834,416057,313368,378453,316261,387131,404486,248284,84368,55924,5785,0,0,0,0
2022-06-12,광양항광양냉장태양광,방전,0,0,0,0,0,4339,52549,160541,294084,398701,425217,448358,376042,292156,413164,347116,161987,90636,26034,3375,0,0,0,0
2022-06-13,광양항광양냉장태양광,방전,0,0,0,0,0,1446,29408,74726,62674,91600,178379,226107,291192,134989,107509,197663,52067,49175,43389,4339,0,0,0,0
2022-06-14,광양항광양냉장태양광,방전,0,0,0,0,0,964,21695,78583,118116,119562,168255,200556,256962,227072,173558,161505,111848,76655,23623,2411,0,0,0,0
2022-06-15,광양항광양냉장태양광,방전,0,0,0,0,0,0,10606,86779,132579,137882,267086,319154,275764,318672,493194,395808,323975,196699,63638,4821,0,0,0,0
2022-06-16,광양항광양냉장태양광,방전,0,0,0,0,0,2411,57371,160541,302762,413646,374114,398219,456554,503800,455107,362061,149453,136436,66531,3857,0,0,0,0
2022-06-17,광양항광양냉장태양광,방전,0,0,0,0,0,2893,64602,113295,257444,365436,385684,236232,506211,471981,430520,327832,233821,70869,43389,5303,0,0,0,0
2022-06-18,광양항광양냉장태양광,방전,0,0,0,0,0,5785,35676,121008,253105,342777,442091,511996,529834,514888,476320,406415,300834,181272,68459,6267,0,0,0,0
2022-06-19,광양항광양냉장태양광,방전,0,0,0,0,0,0,32301,117152,258891,348562,464749,444019,516817,520192,479213,405933,306137,188503,61227,7714,0,0,0,0
2022-06-20,광양항광양냉장태양광,방전,0,0,0,0,0,482,40497,137882,106545,250213,374596,457036,460893,419432,337956,323011,253105,178379,82440,8678,0,0,0,0
2022-06-21,광양항광양냉장태양광,방전,0,0,0,0,0,964,39051,109438,262747,389059,402558,511996,519709,507175,463303,397737,261301,39051,11088,2411,0,0,0,0
2022-06-22,광양항광양냉장태양광,방전,0,0,0,0,0,4339,49175,142703,247320,351455,425217,478731,509103,499943,458964,398219,287817,152345,97385,8678,0,0,0,0
2022-06-23,광양항광양냉장태양광,방전,0,0,0,0,0,0,1928,13499,24105,38568,104617,196699,350973,142221,103653,54960,40979,67977,12053,482,0,0,0,0
2022-06-24,광양항광양냉장태양광,방전,0,0,0,0,0,0,1928,9642,24587,104135,382792,330242,221286,223215,282032,381827,279139,178379,72316,6267,0,0,0,0
2022-06-25,광양항광양냉장태양광,방전,0,0,0,0,0,4339,29891,77137,83404,223697,260819,218876,374114,359651,167291,172594,76655,66048,53032,6749,0,0,0,0
2022-06-26,광양항광양냉장태양광,방전,0,0,0,0,0,0,5785,31337,80994,173076,143185,115705,122937,229000,174040,110884,142703,172112,69905,2893,0,0,0,0
2022-06-27,광양항광양냉장태양광,방전,0,0,0,0,0,0,2411,24105,31337,47728,65566,86297,185611,220322,191396,95457,46282,11571,3857,0,0,0,0,0
2022-06-28,광양항광양냉장태양광,방전,0,0,0,0,0,0,12535,52549,145114,119562,140775,188985,142703,207305,257444,61227,29891,17838,4339,482,0,0,0,0
2022-06-29,광양항광양냉장태양광,방전,0,0,0,0,0,0,21695,48211,62674,173558,286853,341331,315297,179343,170183,60745,72798,39533,14945,3375,0,0,0,0
2022-06-30,광양항광양냉장태양광,방전,0,0,0,0,0,1928,32301,130168,248284,356276,406415,359168,436305,497051,503318,404004,331688,170183,71352,8196,0,0,0,0
2022-07-01,광양항광양냉장태양광,방전,0,0,0,0,0,1446,39051,124865,266122,343741,464749,501389,530798,528387,492712,410754,328314,207787,86297,9160,0,0,0,0
2022-07-02,광양항광양냉장태양광,방전,0,0,0,0,0,2893,42907,146560,270943,365918,399183,497051,542368,500425,503318,408825,323975,207305,89189,9160,0,0,0,0
2022-07-03,광양항광양냉장태양광,방전,0,0,0,0,0,2411,34712,102688,180789,261301,348562,424735,410754,471499,464267,319636,209234,81476,29891,3375,0,0,0,0
2022-07-04,광양항광양냉장태양광,방전,0,0,0,0,0,0,26998,60263,146560,109920,70869,274318,350973,320600,363025,369775,303244,152345,68459,5785,0,0,0,0
2022-07-05,광양항광양냉장태양광,방전,0,0,0,0,0,482,45800,103653,240088,308065,455107,458000,482587,391952,393398,356276,141739,57371,18802,1928,0,0,0,0
2022-07-06,광양항광양냉장태양광,방전,0,0,0,0,0,0,19284,83886,188985,276728,317225,387131,485962,460893,479695,395808,276246,158613,36640,1928,0,0,0,0
2022-07-07,광양항광양냉장태양광,방전,0,0,0,0,0,2893,40979,116669,274318,355794,433895,489337,536583,471017,279139,118598,195735,45318,13499,6267,0,0,0,0
